State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.76716	4.66364	4.50020	4.42937	4.47296	4.25503	4.05889	3.94993	3.80283	3.63938	3.49773	3.45959	3.34518	3.33429	3.54676	3.51408	3.67752	3.76469	3.58490	3.50863	3.42691
2	3.21266	3.08488	3.16398	3.07880	2.95102	2.95102	3.05446	2.94494	2.92668	2.74415	2.82933	2.91452	3.08488	3.07271	2.97536	2.98753	2.89018	2.91452	3.01187	2.87801	2.92060
3	2.07640	2.12794	2.14266	2.27520	2.46664	2.44455	2.54027	2.79798	3.01887	2.84216	2.42246	2.64336	3.02624	2.79062	2.87161	2.91579	2.99679	2.98206	2.86425	2.95261	2.73908
4	1.93994	1.91124	1.93541	1.90217	1.93541	2.02908	2.00491	2.05628	2.04117	2.09405	2.11369	2.21643	2.16355	2.27384	2.29500	2.25571	2.33730	2.29651	2.26025	2.30859	2.39471
5	2.12315	2.09297	2.05775	2.06781	1.96215	2.11309	2.13321	2.13321	2.16340	2.11812	2.07787	2.00240	1.90178	1.90681	1.74581	1.83638	1.84141	1.87159	1.92694	1.94706	2.07787
6	1.05443	1.06272	1.05609	1.03454	0.99309	0.92677	0.95164	0.92843	0.92511	0.92843	0.89030	0.86211	0.83559	0.80077	0.77590	0.76761	0.72285	0.72451	0.78088	0.80906	0.80409
7	3.38461	3.38980	3.38084	3.37000	3.35068	3.33655	3.31392	3.28753	3.25219	3.22721	3.20506	3.13909	3.08442	3.03541	2.98168	2.90487	2.83606	2.77574	2.70788	2.63908	2.56414
8	2.80985	2.73042	2.75028	2.66092	2.55170	2.56163	2.45241	2.43256	2.35313	2.42263	2.30348	2.21412	2.03540	1.91626	1.82690	1.88647	1.74747	1.71768	1.69783	1.79711	1.83683
9	0.43337	0.43410	0.43501	0.43800	0.43952	0.44178	0.44361	0.44556	0.44915	0.45220	0.45579	0.45902	0.46152	0.46225	0.46554	0.46877	0.47249	0.47395	0.47730	0.47986	0.48242
10	1.24660	1.25134	1.25283	1.25595	1.26069	1.25857	1.26256	1.26368	1.26742	1.27391	1.28476	1.28763	1.30073	1.31158	1.32006	1.33440	1.34014	1.35373	1.36658	1.37469	1.38342
