State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.67883	9.34731	11.35236	14.12674	17.08384	20.08421	21.96906	22.68068	22.19505	19.04081	21.25743	34.81199	43.22649	47.79436	48.32808	44.63051	37.43250	30.14795	23.79620	18.98311	15.34324
2	4.51075	5.22495	6.39560	8.38248	11.45946	16.70052	24.40102	35.21072	46.02041	52.99060	53.72628	42.63198	30.93087	21.73216	15.23990	10.50898	7.21720	5.24643	3.96839	3.11994	2.72793
3	3.71703	3.71703	3.87299	4.04844	3.98346	4.05494	3.97046	3.90548	3.65205	2.65781	2.11845	2.07296	1.76754	1.57909	1.67656	1.78054	1.74155	1.92350	2.06646	2.05996	2.13794
4	3.93488	4.17090	4.38691	4.70293	4.96561	4.88294	4.66426	4.00556	3.28552	3.59753	3.32685	2.35346	2.34946	2.48014	2.66015	2.80416	2.93350	2.84682	2.68548	2.58014	2.45614
5	5.84337	5.68352	5.66576	4.92424	3.75645	2.70855	1.97147	1.37204	1.15002	1.24327	1.33208	1.11450	1.27879	1.66065	2.82400	5.91441	10.17261	13.34295	15.01693	15.44319	15.03025
6	1.69437	1.53342	1.24225	1.00375	0.79451	0.61454	0.54431	0.51651	0.50626	0.49163	0.47846	0.47407	0.49309	0.52528	0.58235	0.78720	1.31248	2.07041	2.93955	3.70333	4.36908
7	0.84181	0.78649	0.72161	0.64966	0.60099	0.55608	0.51532	0.47622	0.46541	0.46000	0.45792	0.47123	0.48787	0.50492	0.51989	0.55732	0.62886	0.72452	0.84555	0.98405	1.12380
8	1.83139	1.78758	1.74377	2.00665	2.24324	2.45354	2.49736	2.21695	1.55975	1.12162	1.05152	0.96389	0.99018	0.96389	0.94637	1.10409	1.08657	1.04276	1.07781	1.06904	1.00771
9	0.36031	0.35735	0.35488	0.35160	0.34655	0.33891	0.32928	0.31734	0.30664	0.29927	0.29460	0.29384	0.29616	0.30073	0.30734	0.31320	0.31761	0.32175	0.32514	0.32805	0.33020
10	1.65528	1.62028	1.57504	1.50052	1.41411	1.30800	1.17998	1.05285	0.94542	0.88664	0.86209	0.86518	0.90293	0.95389	1.00783	1.05990	1.10932	1.15170	1.18791	1.21378	1.23359
