State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.64180	28.08798	5.90513	1.95879	3.49810	21.25328	21.32318	0.22024
2	0.57467	50.08754	6.58159	1.07389	2.82963	53.72794	18.00316	0.37610
3	0.47488	0.64436	2.07286	1.12939	2.42272	2.11851	2.79790	0.40137
4	2.31433	2.60044	1.76556	1.11325	2.11391	3.32695	3.43344	0.45570
5	0.69499	0.58926	1.86197	2.15308	2.07306	1.33212	4.84788	0.22028
6	2.10905	0.35846	1.05538	2.18833	0.89039	0.47848	1.17397	0.24380
7	7.41968	0.69988	3.62098	2.13704	3.20446	0.45793	0.67891	0.31743
8	0.35217	2.16414	3.03064	1.14645	2.30372	1.05155	1.48330	0.61484
9	57.38305	0.18525	0.41031	0.74429	0.45584	0.29460	0.35353	1.27678
10	28.03537	1.03849	1.15421	1.06764	1.28490	0.86212	1.24851	0.78089
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
