State (Emission order)	H3k79me2	H3k36me3	H3k9me1	H3k4me1	H3k27ac	H3k9ac	H3k4me2	H3k4me3	H3k9me3	H3k27me3
1	0.963147681488538	0.11664010503748568	0.05978993837992976	0.36866600756238294	0.7971989725151951	0.9492533042234255	0.9738031448984906	0.9361709248151319	0.008459721637277623	1.0955102915580239E-4
2	0.031265696539930596	0.002054398346763346	0.02989764972404152	0.33430627810396146	0.5490742452963363	0.7153360471572656	0.9223475975369595	0.8125207722522254	0.009604166088335331	0.005747598562105172
3	0.04975073813369776	0.10188114472667031	0.13740349173634242	0.9575062889339082	0.8615772453344734	0.46224437305729754	0.43136008102138373	0.2744485059336126	0.03146940955538817	0.0049941102158672455
4	0.010800147510471082	0.023452424296496594	0.06136758529340691	0.5505785166565046	0.06327982459817251	0.025569436349899777	0.04593156895646375	0.033248817165815424	0.0053976406258999495	0.0038875185500895776
5	0.9146526061621706	0.28688873948124277	0.1810878041227484	0.7194880333554793	0.23443608635115817	0.13896632553734026	0.19368409617121957	0.10057475608293277	0.011412234392884564	2.679562210027175E-4
6	0.6642238673089488	0.13963089093524844	0.04748836792220553	0.0510900221409999	0.007044096221536504	0.0023195431590890716	2.0835147094188817E-4	0.0015488085556361868	0.015061738126355003	3.0542321408819724E-4
7	0.01890674824943494	0.17811476238489005	0.036311049929867015	0.006187254736769652	0.008757579203078769	9.617856052159182E-4	1.0901423705410422E-4	6.332640084518448E-4	0.002925505018257024	1.757872991815974E-4
8	0.017497300833971285	0.14400570304251706	0.061536756875731714	0.02460190027523539	0.041113305774641645	0.005016861617351526	0.018714638641692333	0.019450730424938178	0.42899435417457205	0.027212180311808765
9	6.72978229106774E-5	6.869573394569671E-4	0.005268563899913434	4.8781107491510526E-4	6.146445623096946E-4	9.988385111538698E-5	1.5039823180422495E-4	4.687938752292405E-4	0.0059221682127874545	9.281276771752126E-4
10	2.8671709352460557E-4	0.0014420479973436544	0.02467669337760252	0.003922015505659736	0.0035189003756033823	3.926659318337652E-4	4.3307667665717225E-4	0.0010786733097191857	0.0028377529257802643	0.02895332770442769
